character_id_a,name_a,character_id_b,name_b,episode_count
25,Milhouse Van Houten,2739,ABBA,1
9,Lisa Simpson,2739,ABBA,1
9,Lisa Simpson,3592,Robert Pinsky,1
8,Bart Simpson,3592,Robert Pinsky,1
9,Lisa Simpson,241,Entire Town,1
8,Bart Simpson,2739,ABBA,1
40,Edna Krabappel-Flanders,241,Entire Town,1
165,Lenny Leonard,3592,Robert Pinsky,1
8,Bart Simpson,241,Entire Town,1
71,Chief Wiggum,2739,ABBA,1
2,Homer Simpson,241,Entire Town,1
2,Homer Simpson,2739,ABBA,1
2,Homer Simpson,3592,Robert Pinsky,1
332,Dr. Julius Hibbert,3592,Robert Pinsky,1
332,Dr. Julius Hibbert,2739,ABBA,1
404,Groundskeeper Willie,3592,Robert Pinsky,1
1078,Gary Chalmers,3592,Robert Pinsky,1
