id,name,normalized_name
322,Dept. Of Motor Vehicles,dept of motor vehicles
323,Selma's Car,selma car
324,Football Field,football field
325,Patty and Selma's Apartment,patty and selma apartment
326,Hallway Outside Selma And Patty's Apt.,hallway outside selma and patty apt
327,Springfield Revolving Restaurant,springfield revolving restaurant
328,Movie Theater,movie theater
329,Apartment,apartment
330,Springfield Jewelry Store,springfield jewelry store
331,Corporate Headquarters,corporate headquarters
332,Aztec Theater,aztec theater
333,Carnival Grounds,carnival grounds
334,Hospital Room,hospital room
335,Shelbyville Orphanage,shelbyville orphanage
336,Powell Estate,powell estate
337,Michigan Highway,michigan highway
338,Mansion,mansion
339,Estate Grounds,estate grounds
340,Powell Motors Corporate Headquarters,powell motors corporate headquarters
341,Powell Showroom Theatre,powell showroom theatre
342,Showroom Theatre,showroom theatre
343,Canine College,canine college
344,Simply Shoes,simply shoes
345,Simpy Shoes,simpy shoes
346,Springfield Stardust Ballroom,springfield stardust ballroom
347,Ice Cream Parlor,ice cream parlor
348,Beach,beach
349,Grandma's World,grandma world
350,Discount Lion Safari,discount lion safari
351,Cemetery,cemetery
352,Taxi,taxi
353,Lake,lake
354,Amusement Park,amusement park
355,Casino,casino
356,Plato'S Republic,plato republic
357,Home,home
358,Mt. Splashmore,mt splashmore
359,Top Of H 2 Whoa!,top of h 2 whoa
360,H 2 Whoa! Tube,h 2 whoa tube
361,Control Room,control room
362,High School Art Class,high school art class
363,Young Marge's Bedroom,young marge bedroom
364,Springfield Community College Registration,springfield community college registration
365,Community College Registration,community college registration
366,Professor Lombardo's Class,professor lombardo class
367,Community College Painting Studio,community college painting studio
368,Old Armory Hall,old armory hall
369,English Country Manor,english country manor
370,Springfield Art Museum,springfield art museum
371,Elementary - Bart's Classroom,elementary - bart classroom
372,Museum,museum
373,Simpson House - Basement Staircase,simpson house - basement staircase
374,Apartment Building,apartment building
375,Train Station,train station
376,Church Foyer,church foyer
377,Mountain Road,mountain road
378,Cafe,cafe
379,Retreat,retreat
380,Retreat Cabin,retreat cabin
381,Supermarket,supermarket
382,Dormitory Cabin,dormitory cabin
383,Catfish Lake,catfish lake
384,Simpson Cabin,simpson cabin
385,School Bus Garage,school bus garage
386,Bait Shop,bait shop
387,Springfield Convention Center,springfield convention center
388,Krusty Burger,krusty burger
389,Bouvier House,bouvier house
390,Quik-E-Mart,quik-e-mart
391,Springfield Bank,springfield bank
392,Beauty Parlor,beauty parlor
393,Mrs. Glick'S House,mrs glick house
394,World World I Battlefield,world world i battlefield
395,Glick House,glick house
396,The Android's Dungeon & Baseball Card Shop,the android dungeon baseball card shop
397,Hill Near Nuclear Power Plant,hill near nuclear power plant
398,Bloodmobile,bloodmobile
399,Back Of Bloodmobile,back of bloodmobile
400,Burns's Private Fronton,burns private fronton
401,Corner Mailbox,corner mailbox
402,Post Office,post office
403,Smithers' Office,smithers office
404,Burns's Study,burns study
405,Plunderer Pete's,plunderer pete
406,New Bedlam Rest Home for the Emotionally Interesting,new bedlam rest home for the emotionally interesting
407,Kearny's House,kearny house
408,Krusty's House,krusty house
409,Springfield Jail,springfield jail
410,Evergreen Terrace,evergreen terrace
411,Bank,bank
412,Springfield National Forest,springfield national forest
413,Veterans Of Popular Wars Hall,veterans of popular wars hall
414,Hall,hall
415,Legion,legion
416,Airplane,airplane
417,Cockpit,cockpit
418,Cabin,cabin
419,Airport,airport
420,Hotel,hotel
421,Elevator,elevator
422,White House,white house
423,Bureau of Engraving and Printing,bureau of engraving and printing
424,Nat'L Air And Space Museum,natl air and space museum
425,Washington Monument,washington monument
426,Capital,capital
427,Washington D.C.,washington dc
428,W.B. Howe Memorial,wb howe memorial
429,Lincoln Memorial,lincoln memorial
430,Jefferson Memorial,jefferson memorial
431,Capital Building,capital building
432,Kennedy Center,kennedy center
433,Senator'S Office,senator office
434,Kennedy Center Ballroom,kennedy center ballroom
435,Flanders' Yard,flanders yard
436,Store,store
437,Karate School,karate school
438,Leftorium,leftorium
439,Bus Stop,bus stop
440,Road On The Way To School,road on the way to school
441,Bart's Classroom,bart classroom
442,Springfield Elementary School Bus Stop,springfield elementary school bus stop
443,"The ""Ah Fudge!"" Chocolate Factory In Shelbyville",the ah fudge chocolate factory in shelbyville
444,Chocolate Factory Orientation Room,chocolate factory orientation room
445,"Ah, Fudge! Chocolate Factory",ah fudge chocolate factory
446,Legitimate Businessman's Social Club,legitimate businessman social club
447,Club,club
448,Pizza Delivery Truck,pizza delivery truck
449,Downtown Springfield,downtown springfield
450,Deathhouse,deathhouse
451,Springfield Prison,springfield prison
452,Death Chamber,death chamber
453,Springfield County Jail,springfield county jail
454,Skinner's Garage,skinner garage
455,Skinner Home,skinner home
456,Courthouse Steps,courthouse steps
457,Homer's Workstation,homer workstation
458,Stop 'n Go Gas Station,stop n go gas station
459,Random Shots Of Springfield Nuclear Power Plant,random shots of springfield nuclear power plant
460,Shelbyville Nuclear Power Plant,shelbyville nuclear power plant
461,Basketball Court,basketball court
462,Krusty The Clown Show,krusty the clown show
463,Backstage,backstage
464,Backstage At The Krusty Show,backstage at the krusty show
465,Miss Pennycandy'S Office,miss pennycandy office
466,Pennycandy'S Office,pennycandy office
467,Krusty's Dressing Room,krusty dressing room
468,Lower East Side of Springfield,lower east side of springfield
469,Yeshiva Classroom,yeshiva classroom
470,Krustofsky Home,krustofsky home
471,Grossingers,grossingers
472,Downtown Street,downtown street
473,Bus Station,bus station
474,Rabbi Krustofsky's Bedroom,rabbi krustofsky bedroom
475,Rev. Lovejoy's Office,rev lovejoy office
476,Temple Beth Springfield,temple beth springfield
477,Rabbi'S Office,rabbi office
478,Yiddle'S Shop,yiddle shop
479,Temple,temple
480,Krusty's Office,krusty office
481,Izzy's Deli,izzy deli
482,Temple Hallway,temple hallway
483,Steambath,steambath
484,Gammill's Home,gammill home
485,Krusty Set,krusty set
486,Marrakesh,marrakesh
487,Bazaar Area,bazaar area
488,Camel Stall,camel stall
489,Marrakesh Airport,marrakesh airport
490,Simpsons Store,simpsons store
491,Record Store,record store
492,Spaceship,spaceship
493,Springfield Town Square,springfield town square
494,Aerial View Of Springfield,aerial view of springfield
495,Main Street,main street
496,Marvin Monroe's Office,marvin monroe office
497,Secret Passageway,secret passageway
498,Springfield Elementary Auditorium,springfield elementary auditorium
499,King Toot's Music Store,king toot music store
500,Phineas Q. Butterfat's 5600 Flavors Ice Cream Parlor,phineas q butterfat 5600 flavors ice cream parlor
501,Pet Shop,pet shop
502,Pony Ranch,pony ranch
503,Grateful Gelding Stables,grateful gelding stables
504,Employee Credit Union,employee credit union
505,VHS Village,vhs village
506,Fabrizio's Salon,fabrizio salon
507,National Fatherhood Institute,national fatherhood institute
508,Dr. Hibbert's Waiting Room,dr hibbert waiting room
509,Soapbox Derby Track,soapbox derby track
510,Wooded Area,wooded area
511,Flaming Moe's,flaming moe
512,Tipsy McStagger's Research Lab,tipsy mcstagger research lab
513,Springfield Bus Terminal,springfield bus terminal
514,The Aristocrat,the aristocrat
515,Moe's Bedroom,moe bedroom
516,Walnut Street,walnut street
517,Burns's Private Bathroom,burns private bathroom
518,Meeting Room,meeting room
519,The Land of Chocolate,the land of chocolate
520,Fun Center,fun center
521,Free Game Castle,free game castle
522,Grampa's House,grampa house
523,Jewelry Store,jewelry store
524,Wedding Chapel,wedding chapel
525,Chapel,chapel
526,Darkened Room,darkened room
527,Olde Springfield Towne,olde springfield towne
528,Ye Old Candlemaker Shop,ye old candlemaker shop
529,Suburban Home,suburban home
530,Pitiless Pup Attack Dog School,pitiless pup attack dog school
531,Gulp 'N' Blow,gulp n blow
532,Warehouse,warehouse
533,Barber Shop,barber shop
534,Dance Studio,dance studio
535,Wall E. Weasel's,wall e weasel
536,Springfield Elementary School Back Field,springfield elementary school back field
537,Well,well
538,Wee Monsieur,wee monsieur
539,Security Station,security station
540,Springfield Public Library,springfield public library
541,The Gilded Truffle Restaurant,the gilded truffle restaurant
542,South Pacific Island,south pacific island
543,Living Room In France,living room in france
544,Mt. Springfield,mt springfield
545,Nick's Bowling Shop,nick bowling shop
546,The Other Nicks,the other nicks
547,Springfield Memorial Bridge,springfield memorial bridge
548,Marge's Station Wagon,marge station wagon
549,Traffic Copter,traffic copter
550,Smoke Filled Room,smoke filled room
551,Press Conference,press conference
552,Patty and Selma's Car,patty and selma car
553,Rancho Relaxo,rancho relaxo
554,Patty and Selma's Bedroom,patty and selma bedroom
555,Hair Salon,hair salon
556,Patty and Selma's Apartment Building,patty and selma apartment building
557,Marge's Train,marge train
558,Springfield Elementary - Bart's Classroom,springfield elementary - bart classroom
559,Edna's Apartment,edna apartment
560,Lovejoy Home,lovejoy home
561,Theater,theater
562,Springfield Towers,springfield towers
1232,London,london
563,Millionaire'S Club,millionaire club
564,Baseball Card Show,baseball card show
565,Woods,woods
566,Southern Mansion,southern mansion
567,Night Club,night club
568,Ball Field,ball field
569,Springfield Suburbs,springfield suburbs
570,Springfield City Jail,springfield city jail
571,Springfield Mystery Spot,springfield mystery spot
572,Softball Diamond,softball diamond
573,Mrs. Krabappel's Classroom,mrs krabappel classroom
