id,name,normalized_name
2320,Duff World Records Office,duff world records office
2321,Motherloving Sugar Corporation,motherloving sugar corporation
2322,Motherloving Sugar,motherloving sugar
2323,Cletus's Shack,cletus shack
2324,Disco Stu'S '70S-Style Bachelor Pad,disco stu 70s-style bachelor pad
2325,Lard Lad,lard lad
2326,Caribbean Sea,caribbean sea
2327,Bridge Of Yacht,bridge of yacht
2328,Dock Area,dock area
2329,Concession Stand,concession stand
2330,Tv Talk Show Studio,tv talk show studio
2331,Derby Pit,derby pit
2332,Patty and Selma's Doorway,patty and selma doorway
2333,Artie Ziff'S Mansion,artie ziff mansion
2334,Putting Green,putting green
2335,Stern Of A Yacht,stern of a yacht
2336,Artie Ziff'S Estate,artie ziff estate
2337,Ziff Estate,ziff estate
2338,Artie'S House,artie house
2339,German Castle,german castle
2340,Arid Western Plains,arid western plains
2341,Artie'S Helicopter,artie helicopter
2342,Oilfield,oilfield
2343,Bottom Of Oil Derrick,bottom of oil derrick
2344,Banged-Up Helicopter,banged-up helicopter
2345,Private School Grounds,private school grounds
2346,Fair,fair
2347,Game Booth,game booth
2348,Humvee,humvee
2349,Wolfcastle Estate,wolfcastle estate
2350,Wolfcastle Mansion,wolfcastle mansion
2351,Wolfcastle'S House,wolfcastle house
2352,Springfield Square Garden,springfield square garden
2353,Floppy's,floppy
2354,Greta'S House,greta house
2355,Boardwalk,boardwalk
2356,Toronto Bus Station,toronto bus station
2357,CN Tower,cn tower
2358,Paramountie Studios,paramountie studios
2359,Soundstage,soundstage
2360,"""Undercover Nerd"" Soundstage",undercover nerd soundstage
2361,"""Curling For Loonies"" Set",curling for loonies set
2362,Floppy'S Night Club,floppy night club
2363,Old Ritzy Neighborhood,old ritzy neighborhood
2364,Buck'S Mansion,buck mansion
2365,Buck'S House,buck house
2367,Springfield Aquarium,springfield aquarium
2368,Street In Front Of Retirement Castle,street in front of retirement castle
2369,Branson,branson
2370,Branson Theater,branson theater
2371,Plain,plain
2372,Inside City Of Troy,inside city of troy
2373,Flaming Ruins Of Troy,flaming ruins of troy
2374,Mt. Olympus,mt olympus
2375,Homer's Ship,homer ship
2376,Ithaca,ithaca
2377,Island Of Circe,island of circe
2378,River Styx,river styx
2379,Penelope And Odysseus'S Living Room,penelope and odysseus living room
2380,Medieval French Town,medieval french town
2381,French House,french house
2382,Field Outside Fortress,field outside fortress
2383,Ramparts Of English Castle,ramparts of english castle
2384,French Throne Room,french throne room
2385,Feasting Hall,feasting hall
2386,Hamlet'S Bedchamber,hamlet bedchamber
2387,King'S Bedchamber,king bedchamber
2388,Throne Room,throne room
2389,Phone Company,phone company
2390,Brazilian Airplane,brazilian airplane
2391,Rio de Janeiro,rio de janeiro
2392,Hotel Lobby,hotel lobby
2393,Rio,rio
2394,Churrascarias,churrascarias
2395,Rio And Homer's Thought Bubble Cut,rio and homer thought bubble cut
2396,Samba School,samba school
2397,Schoolhouse,schoolhouse
2398,Street In Rio,street in rio
2399,Simpson Garden,simpson garden
2400,High School Football Stadium,high school football stadium
2401,Skies Of Springfield,skies of springfield
2402,Friars Club,friars club
2403,Springfield Friars Club,springfield friars club
2404,Shrine Auditorium,shrine auditorium
2405,Speaker'S Bureau,speaker bureau
2406,Small Town City Hall,small town city hall
2407,Modern Office Building,modern office building
2408,Betterthantv.Com Building,betterthantvcom building
2409,BetterThanTV.com,betterthantvcom
2410,Battlefield,battlefield
2411,Another Part Of Springfield Park,another part of springfield park
2412,Divorce Lawyer'S Office,divorce lawyer office
2413,Manjula's Apartment,manjula apartment
2414,Apu's Apartment Building,apu apartment building
2415,Apu's Old Apartment Building,apu old apartment building
2416,Apu And Manjula's Bedroom,apu and manjula bedroom
2417,Apu and Manjula's Apartment Building,apu and manjula apartment building
2418,Lugash's Gym,lugash gym
2419,Hole,hole
2420,China,china
2421,Sweatshop,sweatshop
2422,Carrie's Car,carrie car
2423,Springfield College,springfield college
2424,Springfield College Green,springfield college green
2425,Café Kafka,café kafka
2426,Springfield University Main Quad,springfield university main quad
2427,Roof,roof
2428,Old Man'S House,old man house
2429,Old House,old house
2430,Closet,closet
2431,Mrs. Bellamy'S House,mrs bellamy house
2432,Front Parlor,front parlor
2433,Study,study
2434,Death Row,death row
2435,City Morgue,city morgue
2436,Costington's Front Window,costington front window
2437,Arnie Pye'S Helicopter,arnie pye helicopter
2438,Town Meeting,town meeting
2439,The Wooly Bully,the wooly bully
2440,Hat Store,hat store
2441,Simpson Backyard ‑ Day,simpson backyard day
2442,Sidewalk In Front Of Simpson House,sidewalk in front of simpson house
2443,Women'S Clothing Store,women clothing store
2444,Front Of Simpson House,front of simpson house
2445,Country Dirt Road,country dirt road
2446,Countryside ‑ Later,countryside later
2447,Rolling Field,rolling field
2448,Farmhouse ‑ Day,farmhouse day
2449,Rural,rural
2450,War Room ‑ Day,war room day
2451,Marge And Homer's Bedroom ‑ Night,marge and homer bedroom night
2452,Seaplane,seaplane
2453,Island Of Lost Souls,island of lost souls
2454,Dr. Hibbert'S Villa,dr hibbert villa
2455,Homer And Marge'S Bungalow,homer and marge bungalow
2456,House Of Pain,house of pain
2457,Marge And Homer'S Bungalow,marge and homer bungalow
2458,Bart And Lisa'S Bungalow,bart and lisa bungalow
2459,Springfield Pet Shot,springfield pet shot
2460,Springfield Pet Shop,springfield pet shop
2461,Springfield Blood Bank,springfield blood bank
2462,Springfield Red Cross,springfield red cross
2463,Rock 'n' Roll Fantasy Camp,rock n roll fantasy camp
2464,Camp,camp
2465,Lenny's Thread Shed,lenny thread shed
2466,Class,class
2467,Rock 'n' Roll Camp,rock n roll camp
2468,Bunkhouse,bunkhouse
2469,Backstage Area,backstage area
2470,Civic Center Parking Lot,civic center parking lot
2471,Television Store,television store
2472,Satellite,satellite
2473,Central Perk-Style Coffee Shop With Japanese Décor,central perk-style coffee shop with japanese décor
2474,Third-Grade Class,third-grade class
2475,State Legislature,state legislature
2476,Capital City Hotel,capital city hotel
2477,Hotel Bathroom,hotel bathroom
2478,Capitol Building,capitol building
2479,Capital City Street,capital city street
2480,Wooded Area Below Highway,wooded area below highway
2481,Thick Woods,thick woods
2482,Plastic Surgery Clinic,plastic surgery clinic
2483,Plastic Surgery Waiting Room,plastic surgery waiting room
2484,Plastic Surgery Center,plastic surgery center
2485,Stomach Staples Center,stomach staples center
2486,Dr. Velimirovic's Office,dr velimirovic office
2487,Luigi's Trattoria,luigi trattoria
2488,Africa,africa
2489,Apartment Hallway,apartment hallway
2490,Lenny's Apartment,lenny apartment
2491,Reality Channel Studio,reality channel studio
2492,Reality Channel Studios,reality channel studios
2493,Testing Room,testing room
2494,1895 House,1895 house
2495,Video Confessional,video confessional
2496,Hilly Area,hilly area
2497,Stagnant Springs Spa,stagnant springs spa
2498,Spa,spa
2499,Mud Spa,mud spa
2500,Massage Room,massage room
2501,Yoga Class,yoga class
2502,Steam Room,steam room
2503,Maximum Security Prison,maximum security prison
2504,Warden'S Office,warden office
2505,Mountain Cliff,mountain cliff
2506,Lover'S Lane,lover lane
2507,IMAX Theater,imax theater
2508,Official Building,official building
2509,Teacher of the Year Foundation,teacher of the year foundation
2510,EFCOT Center,efcot center
2511,Future Sphere,future sphere
2512,Transportation Pavilion,transportation pavilion
2513,Pavilion,pavilion
2514,Home of Tomorrow,home of tomorrow
2515,Vietnam,vietnam
2516,Same Classroom,same classroom
2517,Art Deco Office Building,art deco office building
2518,Art Deco Building,art deco building
2519,Ice Cream Store,ice cream store
2520,Science Building,science building
2521,'40s Building,40s building
2522,Cabin Motel,cabin motel
2523,Circus Grounds,circus grounds
2524,Hall of Mirrors,hall of mirrors
2525,Fancy Living Room,fancy living room
2526,Wolfcastle's Bedroom,wolfcastle bedroom
2527,Muscle Beach,muscle beach
2528,Pageant Hall,pageant hall
2529,Springfield Arena,springfield arena
2530,Community Outreach Center,community outreach center
2531,Channel 6 Helicopter,channel 6 helicopter
2532,Church Grounds,church grounds
2533,Church Roof,church roof
2534,Law Office,law office
2535,Loft Building,loft building
2536,Loft,loft
2537,Bart's Loft Building,bart loft building
2538,Bart's Loft,bart loft
2539,Skewed Tour,skewed tour
2540,Half-Pipe,half-pipe
2541,Channel Six News,channel six news
2542,Spellympic Village,spellympic village
2543,Inside Outdoor Coliseum,inside outdoor coliseum
2544,San Francisco,san francisco
2545,Spellympic Coliseum,spellympic coliseum
2546,Springfield Bowl,springfield bowl
2547,Mafia Jet,mafia jet
2548,Springfield International Airport,springfield international airport
2549,Off Ramp Inn,off ramp inn
2550,Congressional Office Building,congressional office building
2551,Congressman'S Office,congressman office
2552,Second-Best Western Motel,second-best western motel
2553,U.S. Capitol,us capitol
2554,Washington Bar,washington bar
2555,Stripping Class,stripping class
2556,Side Of The Road,side of the road
2557,Lego Land,lego land
2558,Morocco,morocco
2559,Springfield Museum of Natural History,springfield museum of natural history
2560,Hobby Store,hobby store
2561,House Shaped Like A Tugboat,house shaped like a tugboat
2562,Steps Of City Hall,steps of city hall
2563,Fat Tony's Car,fat tony car
2564,Park Bench,park bench
2565,Springfield Elementary Baseball Field,springfield elementary baseball field
2566,Bachelor Arms,bachelor arms
2567,Kirk Van Houten's Apartment,kirk van houten apartment
2568,Village Apartment,village apartment
2569,Gay Nightclub,gay nightclub
2570,Castle-Shaped Building,castle-shaped building
2571,Medieval Times,medieval times
2572,Burns's Lawyer's House,burns lawyer house
2573,Record-Pressing Plant,record-pressing plant
2574,Warehouse Rave,warehouse rave
2575,Karaoke Bar,karaoke bar
2576,Dude Ranch,dude ranch
2577,Ranch,ranch
2578,Picnic Area,picnic area
2579,Natural Hot Springs,natural hot springs
2580,Dining Hall,dining hall
2581,Lisa and Bart's Cabin,lisa and bart cabin
2582,Dirt Road Through Forest,dirt road through forest
2583,Beaver Dam,beaver dam
2584,Base Of The Dam,base of the dam
2585,Main Ranch Building,main ranch building
2586,Farm Neighborhood,farm neighborhood
2587,New Treehouse,new treehouse
2588,Bunker,bunker
2589,H.k. Duff's Office,hk duff office
2590,Duff Executive Office,duff executive office
2591,Space Station,space station
2592,"$100,000 Pyramid Set",100000 pyramid set
2593,Springfield Bowery,springfield bowery
2594,Viewing Area,viewing area
2595,Springfield Hospital Waiting Room,springfield hospital waiting room
2596,Springfield Pier,springfield pier
2597,Judge Harm'S Courtroom,judge harm courtroom
2598,Springfield Sidewalk,springfield sidewalk
2599,Counselor'S Office,counselor office
2600,Montana,montana
2601,Concert Stadium,concert stadium
2602,Front Of Flanders House,front of flanders house
2603,"Kirk Van Houten's ""Cavalry Kids"" Car",kirk van houten cavalry kids car
2604,Inside Stadium,inside stadium
2605,Gardens Entrance,gardens entrance
2606,Mini Van,mini van
2607,Airspace Over Bridge,airspace over bridge
2608,Lower Level,lower level
2609,Godfather'S House,godfather house
2610,Isotopes Stadium,isotopes stadium
2611,Swedish Street,swedish street
2612,Swedish Auditorium,swedish auditorium
2613,Nobel Prize Auditorium,nobel prize auditorium
2614,F.B.I. Headquarters,fbi headquarters
2615,Other Room,other room
2616,State College,state college
2617,Federal Agents' Car,federal agents car
2618,Film Processing Store,film processing store
2619,Side Of Freeway,side of freeway
2620,Atm Machine,atm machine
2621,English Meadow,english meadow
2622,Deck Of Troop Transport Ship,deck of troop transport ship
2623,Heathrow Airport,heathrow airport
2624,London Streets,london streets
2625,Quaint British Motel,quaint british motel
2626,London Street,london street
2627,Judi Dench'S Fish And Chips,judi dench fish and chips
2628,Harrods,harrods
2629,Harrod's,harrod
2630,Harrods Window,harrods window
2631,London Eye,london eye
2632,British Street,british street
2633,West End Street,west end street
2634,Car Rental Lot,car rental lot
2635,Mini Cooper,mini cooper
2636,Roundabout,roundabout
2637,Old Bailey,old bailey
2638,British-Style Courtroom,british-style courtroom
2639,Tower of London,tower of london
2640,Palace Guard Room,palace guard room
2641,Queen'S Bedchamber,queen bedchamber
2642,Sprawl-Mart,sprawl-mart
2643,Grant Connor'S House,grant connor house
2644,Suit Closet,suit closet
2645,Forest Road,forest road
2646,Campground,campground
2647,Wildlife Sanctuary,wildlife sanctuary
2648,Hallway Outside Bathroom,hallway outside bathroom
2649,Xxx Movie House,xxx movie house
2650,Seedy Street,seedy street
2651,Jewish Neighborhood,jewish neighborhood
2652,Jewish Walk of Fame,jewish walk of fame
2653,Walk Of Fame Building,walk of fame building
2654,Walk Of Fame Headquarters,walk of fame headquarters
2655,Isotope Stadium,isotope stadium
2656,Back Stage,back stage
2657,Hibbert'S Household,hibbert household
2658,Synagogue,synagogue
2659,Springfield Heights Promenade,springfield heights promenade
2660,Cognition Junction,cognition junction
2661,Victor's Secret,victor secret
2662,Things Unnecessary,things unnecessary
2663,Run-Down Street,run-down street
2664,Seedy Christmas Tree Lot,seedy christmas tree lot
2665,"""Family Matters"" Set",family matters set
2666,"""Star Trek"" Set",star trek set
2667,Church Sacristy,church sacristy
2668,Homeless Shelter,homeless shelter
2669,Snake's Apartment,snake apartment
2670,Parking Area,parking area
2671,Cletus's Farm,cletus farm
2672,Toys Я Us,toys я us
2673,Roller Coaster,roller coaster
2674,Mall Parking Structure,mall parking structure
2675,Family Section,family section
2676,Town Street,town street
2677,Sidewalks Of Springfield,sidewalks of springfield
2678,Bike Store,bike store
2679,Animal Shelter,animal shelter
2680,Robot Rumble Ring,robot rumble ring
2681,Bookaccino's,bookaccino
2682,Boris' Car Loft,boris car loft
2683,Nantucket,nantucket
2684,Evergreen Manor,evergreen manor
2685,Nantucket House,nantucket house
2686,Tom Clancy'S Home,tom clancy home
2687,Cliff,cliff
2688,Hampton Court Palace,hampton court palace
2689,Royal Bedchamber,royal bedchamber
2690,Marriage Counselor'S Office,marriage counselor office
2691,Palace Office,palace office
2692,Palace Walls,palace walls
2693,Palace,palace
2694,Storeroom,storeroom
2695,Mandan Village,mandan village
2696,Riverbank Campsite,riverbank campsite
2697,Mountain Valley,mountain valley
2698,Riverside,riverside
2699,Eighteenth-Century Austrian Palace,eighteenth-century austrian palace
2700,Eighteenth-Century Palace,eighteenth-century palace
2701,Vienna Street,vienna street
2702,Mozart Home,mozart home
2703,Concert Hall,concert hall
2704,Vienna Opera House,vienna opera house
2705,Streets Of Vienna,streets of vienna
2706,Mozart's Bedroom,mozart bedroom
2707,Mozart'S House,mozart house
2708,Emperor'S Palace,emperor palace
2709,Tv Museum,tv museum
2710,Museum Of Television,museum of television
2711,Van Houten Driveway,van houten driveway
2712,Freeway Exit Ramp,freeway exit ramp
2713,Milhouse's New Apartment,milhouse new apartment
2714,Mound Chamber,mound chamber
2715,The Flapjack Stack,the flapjack stack
2716,Mrs. Wickerbottom's Pre-Nursery School,mrs wickerbottom pre-nursery school
2717,Springfield Elementary Cafeteria,springfield elementary cafeteria
2718,Visible Man Atrium,visible man atrium
2719,Visible Man Mouth,visible man mouth
2720,Mouth,mouth
2721,Visible Man,visible man
2722,Visible Man Stomach,visible man stomach
2723,Googolplex Ticket Window,googolplex ticket window
2724,Googleplex,googleplex
2725,Dark Hallway,dark hallway
2726,Creepy Garden,creepy garden
2727,Park Area,park area
2728,Congressional Hearing Room,congressional hearing room
2729,Prison Visiting Cubicle,prison visiting cubicle
2730,Country Club Prison,country club prison
2731,Northern California,northern california
2732,Cosmic Wars Ranch,cosmic wars ranch
2733,Creature Works Building,creature works building
2734,Lush Valley Winery,lush valley winery
2735,Randall Curtis' Office,randall curtis office
2736,Oktoberfest Parking Lot,oktoberfest parking lot
2737,Embankment,embankment
2738,Quitters,quitters
2739,Rec Room,rec room
2740,Girls' Department,girls department
2741,Cosmetics Dept.,cosmetics dept
2742,Dressing Room Area,dressing room area
2743,Housewares Section,housewares section
2744,Springfield Juvenile Correctional Facility,springfield juvenile correctional facility
2746,Prison Hallway,prison hallway
2747,Small Prison Auditorium,small prison auditorium
2748,Prison Play Yard,prison play yard
2749,Prison Visiting Room,prison visiting room
2750,Juvenile Prison,juvenile prison
2751,Prison Rec Room,prison rec room
2752,Prison Gymnasium,prison gymnasium
2753,Juvenile Correctional Facility,juvenile correctional facility
2754,Countryside,countryside
2755,Blacksmith'S,blacksmith
2756,Fork In Road,fork in road
2757,Fork In The Road,fork in the road
2758,Juvenile Hall,juvenile hall
2759,Futuristic Living Room,futuristic living room
2760,Multi-Purpose Room B,multi-purpose room b
2761,Uncle Tyrone'S House,uncle tyrone house
2762,Video Rental Store,video rental store
2763,Adult Film Section,adult film section
2764,Plane Cabin,plane cabin
2765,Swelldorado Hotel,swelldorado hotel
2766,Highway North Of Miami,highway north of miami
2767,Miami Airport,miami airport
2768,Miami Beach,miami beach
2769,Miami,miami
2770,Atlantic City,atlantic city
2771,Atlantic City Hotel,atlantic city hotel
2772,Luxury Apartment Tower,luxury apartment tower
2773,Raoul's Penthouse,raoul penthouse
2774,Niagara Falls Airport,niagara falls airport
2775,Niagara Falls Hotel,niagara falls hotel
2776,Top Of Ferris Wheel,top of ferris wheel
2777,"""Moon Bounce"" Castle",moon bounce castle
2778,Moon Bounce,moon bounce
2779,Niagara River,niagara river
2780,Base Of The Falls,base of the falls
2781,Poolside Patio,poolside patio
2782,County Fair,county fair
2783,City,city
2784,Summer Camp,summer camp
2785,Homer's Cabin,homer cabin
2786,Motorboat,motorboat
2787,Girls' Dining Room,girls dining room
2788,Girls' Kitchen,girls kitchen
2789,Camp Infirmary,camp infirmary
2790,Lakeshore,lakeshore
2791,Girls' Beach,girls beach
2792,Girls' Camp,girls camp
2793,Girls Dining Hall,girls dining hall
2794,Marge's Cabin,marge cabin
2795,Promontory,promontory
2796,Second Date Rock,second date rock
2797,Fat Camp,fat camp
2798,Girls' Camp Pay Phone,girls camp pay phone
2799,Boys' Camp Payphone,boys camp payphone
2800,Girls' Payphone,girls payphone
2801,Girls' Campground,girls campground
2802,Children'S Exam Room,children exam room
2803,When You Wash Upon a Car Wash,when you wash upon a car wash
2804,"""Headbutt"" Set",headbutt set
2805,Libertyville,libertyville
2806,First Church of Libertyville,first church of libertyville
2807,Ronald Reagan Reeducation Center,ronald reagan reeducation center
2808,Prison Auditorium,prison auditorium
2809,Springfield Mountain Area,springfield mountain area
2810,Geezer Rock,geezer rock
2811,Channel 6 Building,channel 6 building
2812,Springfield Sky,springfield sky
2813,Army Base,army base
2814,Booth,booth
2815,Core,core
2816,Victorian London,victorian london
2817,Scotland Yard,scotland yard
2818,Emporium Of Exotica,emporium of exotica
2819,Opium Den,opium den
2820,Public Yard,public yard
2821,Mao'S Den,mao den
2822,Mao'S,mao
2823,Capsule,capsule
2824,Mr. Burns' Body,mr burns body
2825,Burns' Body,burns body
2826,Vessel,vessel
2827,Frink'S Office,frink office
2828,Mr. Burns,mr burns
2829,House Next Door,house next door
2830,Judging Room,judging room
2831,The Thin Crowd,the thin crowd
2832,Bad Part Of Town,bad part of town
2833,Muntz House,muntz house
2834,Window,window
2835,Springfield Press Club,springfield press club
2836,Chloe's Car,chloe car
2837,Springfield Four Seasons,springfield four seasons
2838,Highway Outside Capital City,highway outside capital city
2839,Base Of The Springfield Volcano Site,base of the springfield volcano site
2840,U. N. Women'S Conference,u n women conference
2841,Women'S Conference,women conference
2842,Springfield Volcano,springfield volcano
2843,Base Of The Volcano,base of the volcano
2844,Barney's Helicopter,barney helicopter
2845,Plutonium Storage Room,plutonium storage room
2846,Goose's Gags and Gifts,goose gags and gifts
2847,Springfield Air and Space Museum,springfield air and space museum
2848,Air Museum,air museum
2849,Tarmac,tarmac
2850,Museum Stage,museum stage
2851,Springfield Employment Agency,springfield employment agency
2852,Police Evidence Room,police evidence room
2853,Drug Manufacturing Plant,drug manufacturing plant
2854,Canadian Vfw-Style Building,canadian vfw-style building
2855,Dudley Do-Drugs Pharmacy,dudley do-drugs pharmacy
2856,Canadian Pharmacy,canadian pharmacy
2857,U.S.,us
2858,Rented Van,rented van
2859,Streets Of Winnipeg,streets of winnipeg
2860,"Border Crossing, Canadian Side",border crossing canadian side
2861,Canadian Jail,canadian jail
2862,Airport Hangar,airport hangar
2863,Canadian Warehouse,canadian warehouse
2864,Skies,skies
2865,Plywood Pelican,plywood pelican
2866,Tower Room,tower room
2867,Fancy Hotel,fancy hotel
2868,Fancy Atrium,fancy atrium
2869,Atrium,atrium
2870,Hot Air Balloon,hot air balloon
2871,Large Football Stadium,large football stadium
2872,Commissioner'S Office,commissioner office
2873,Capital City Stadium,capital city stadium
2874,Ark,ark
2875,Hummer Limo,hummer limo
2876,Fancy Estate,fancy estate
2877,Alcatraaaz Mansion,alcatraaaz mansion
2878,Alcatraaaz' House,alcatraaaz house
2879,Springfield Glacier Park,springfield glacier park
2880,Springfield Sprawl*Mart,springfield sprawlmart
2881,Springfield Glacier Visitor Center,springfield glacier visitor center
2882,Sprawl*Mart,sprawlmart
2883,Glacier Visitor Center,glacier visitor center
2884,Springfield Glacier,springfield glacier
2885,Family Court,family court
2886,Bart's Sylvan Glade,bart sylvan glade
2887,Henhouse,henhouse
2888,Suburban Road,suburban road
2889,Selma's Hospital Room,selma hospital room
2890,Springfield Orphanage,springfield orphanage
2891,Chinese Consulate,chinese consulate
2892,Adoption Affairs Office,adoption affairs office
2893,Beijing Airport,beijing airport
2894,Great Hall Of The People,great hall of the people
2895,In Front Of Shaolin Temple,in front of shaolin temple
2896,Mao'S Tomb,mao tomb
2897,Great Wall of China,great wall of china
2898,Beijing Playhouse,beijing playhouse
2899,Playhouse,playhouse
2900,Inside Forbidden City,inside forbidden city
2901,Chinese Street,chinese street
2902,Zhengyici Theater,zhengyici theater
2903,Simpsons' Hotel,simpsons hotel
2904,Orphanage,orphanage
2905,Beijing Street,beijing street
2906,Fishing Wharf,fishing wharf
2907,Strip Mall Insurance Agency,strip mall insurance agency
2908,Merry Widow Life Insurance,merry widow life insurance
2909,Motor Home,motor home
2910,Rv Dealership,rv dealership
2911,Turnpike,turnpike
2912,Rear Deck Of Ship,rear deck of ship
2913,Shelbyville Main Street,shelbyville main street
2914,Shelbyville,shelbyville
2915,Frank Gehry-Style House,frank gehry-style house
2916,Springfield Town Assembly Hall,springfield town assembly hall
2917,Prison Shower,prison shower
2918,Homer's Cell,homer cell
2919,Snowball'S Other Family'S House,snowball other family house
2920,Exercise Yard,exercise yard
2921,Prison Library,prison library
2922,Woods Near Prison,woods near prison
2923,Prison Cellblock,prison cellblock
2924,Prison Kitchen,prison kitchen
2925,Gas Chamber,gas chamber
2926,Prison Room,prison room
2927,High School,high school
2928,High School Gym,high school gym
2929,Cliff With City View,cliff with city view
2930,Underwater House,underwater house
2931,Futuristic Kwik-E-Mart,futuristic kwik-e-mart
2932,Graduation Stage,graduation stage
2933,Decompression Chamber,decompression chamber
2934,Knockers,knockers
2935,Builder's Barn,builder barn
2936,Mental Hospital,mental hospital
2937,Electro-Shock Room,electro-shock room
2938,Calmwood,calmwood
2939,Dr. Itchy's,dr itchy
2940,Health Spa,health spa
2941,Serenity Ranch,serenity ranch
2942,Tab Spangler's Car,tab spangler car
2943,Front of Simpson Home,front of simpson home
2944,Outside Window,outside window
2945,Van Houten Living Room,van houten living room
2946,Gospel for Less,gospel for less
2947,Desert Highway,desert highway
2948,Mesa,mesa
2949,Sushi Bar,sushi bar
2950,Desert Road Outside Springfield,desert road outside springfield
2951,Springfield Mesa,springfield mesa
2952,Upscale Resort Lobby,upscale resort lobby
2953,Swanky Hotel Suite,swanky hotel suite
2954,God's Office,god office
2955,Npr Radio Studio,npr radio studio
2956,Limited Appeal Theater,limited appeal theater
2957,Flanders' Guest Room,flanders guest room
2958,Flanders' (Former) House,flanders house
2959,Humbleton,humbleton
2960,Humble Figurine Factory,humble figurine factory
2961,Flanders' Humbleton House,flanders humbleton house
2962,Flanders' Springfield House,flanders springfield house
2963,St. Jerome'S,st jerome
2964,Dublin Street,dublin street
2965,Confessional,confessional
2966,Lovejoy's Van,lovejoy van
2967,Protestant Youth Fest Fairground,protestant youth fest fairground
2968,Protestant Youth Fest,protestant youth fest
2969,Youth Festival,youth festival
2970,Post-Apocalyptic Battlefield,post-apocalyptic battlefield
2971,Fat Tony's Office,fat tony office
2972,Highway Rest Stop,highway rest stop
2973,Pay Phone,pay phone
2974,Roadside Cafe,roadside cafe
2975,Southern Coast,southern coast
2976,Chicken Coop,chicken coop
2977,Southern Coastal Town,southern coastal town
2978,Stamp Museum,stamp museum
2979,Lenny'S Front Lawn,lenny front lawn
2980,Child's Bedroom,child bedroom
2981,Psychiatrist's Office,psychiatrist office
2982,Other Side Of The Gate,other side of the gate
2983,First A. M. E. Church of Springfield,first a m e church of springfield
2984,Spinster City Apartments,spinster city apartments
2985,Springfield Hospital Grounds,springfield hospital grounds
2986,Forest Clearing,forest clearing
2987,Burns Estate,burns estate
2988,Burns Dining Room,burns dining room
2989,Secluded Mountain Clearing,secluded mountain clearing
2990,Paradise Pier,paradise pier
2991,Another Area Of The Pier,another area of the pier
2992,Tea House,tea house
2993,Springshire,springshire
2994,Teahouse,teahouse
2995,Karaoke Store,karaoke store
2996,Arts And Crafts Store,arts and crafts store
2997,Cletus and Brandine's Pickup Truck,cletus and brandine pickup truck
2998,Quimby's Bedroom,quimby bedroom
2999,Tv Soundstage,tv soundstage
3000,Mayoral Mansion,mayoral mansion
3001,Italian Countryside,italian countryside
3002,Little Italy,little italy
3003,Skies Above Springfield,skies above springfield
3004,Tammy'S Rec Room,tammy rec room
3005,Children'S Hospital,children hospital
3006,Burns's Basement,burns basement
3007,Lawn,lawn
3008,Street Next To Springfield Elementary,street next to springfield elementary
3009,Italy,italy
3010,Lamborgotti Factory,lamborgotti factory
3011,Italian Highway,italian highway
3012,Pisa,pisa
3013,Pompeii,pompeii
3014,Salsiccia Town Square,salsiccia town square
3015,Palazzo,palazzo
3016,Well-Appointed Study,well-appointed study
3017,Tuscan Countryside,tuscan countryside
3018,Wine Vat,wine vat
3019,Row Of Shops,row of shops
3020,Sausage Shop,sausage shop
3021,Field On The Edge Of Town,field on the edge of town
3022,Sideshow Bob's House,sideshow bob house
3023,Rome,rome
3024,Roman Street,roman street
3025,Inside Colosseum,inside colosseum
3026,Inside The Colosseum,inside the colosseum
3027,Nazareth (1 B.C.),nazareth
3028,Mary'S House,mary house
3029,King Herod's Palace,king herod palace
3030,Inn,inn
3031,Bethlehem Inn,bethlehem inn
3032,Sky Over The Pacific,sky over the pacific
3033,Pacific Atoll,pacific atoll
3034,Tahiti,tahiti
3035,Dumpster,dumpster
3036,Toll Road,toll road
3037,Car Behind Marge,car behind marge
3038,Tire Fire,tire fire
3039,Moe's House,moe house
3040,Mason'S House,mason house
3041,Mason'S Boat,mason boat
3042,Spanish Galleon,spanish galleon
3043,Submersible,submersible
3044,Steam Tunnel,steam tunnel
3045,Boiler Room,boiler room
3046,Sixth Grade Class,sixth grade class
3047,Band Room,band room
3048,Roadside Diner,roadside diner
3049,Bathroom Stall,bathroom stall
3050,Diner Bathroom,diner bathroom
3051,Yard Sale,yard sale
3052,Upward Bound Camp,upward bound camp
3053,Go-cart Track,go-cart track
3054,Behind The School,behind the school
3055,Pants Factory,pants factory
3056,Caverns,caverns
3057,Large Marble-Floored Room,large marble-floored room
3058,Tower,tower
3059,Tower Attic Room,tower attic room
3060,Excluders' Club,excluders club
3061,Fog-Shrouded Field,fog-shrouded field
3062,Chamber Of Cave,chamber of cave
3063,Upscale Restaurant,upscale restaurant
3064,Moeview Motel,moeview motel
3065,Edna's Apartment Building,edna apartment building
3066,Sheep'S Thought Bubble (Bighorn Sheep'S Story),sheep thought bubble
3067,Burns's Attic,burns attic
3068,Cave Mouth,cave mouth
3069,Cave Chamber,cave chamber
3070,Outside School,outside school
3071,Riverbank Park,riverbank park
3072,Riverside Park,riverside park
3073,Old Wooden Mill,old wooden mill
3074,Mill,mill
3075,Animal Retirement Home,animal retirement home
3076,Chimp Habitat,chimp habitat
3077,Ruffintumble's Fun Zone,ruffintumble fun zone
3078,Swanky Apartment Building,swanky apartment building
