character_id,name,normalized_name,gender
5151,E.T. Reporter,et reporter,unknown
5153,Annette,annette,unknown
5154,Smoke Lisa,smoke lisa,unknown
5155,Lillian Hellman,lillian hellman,unknown
5156,Smoke Historical Figures,smoke historical figures,unknown
5157,Ballerinas,ballerinas,unknown
5158,Male Dancer,male dancer,unknown
5159,Ballerina,ballerina,unknown
5160,Dancer Bumped Into,dancer bumped into,unknown
5161,Dancer Who Bumped,dancer who bumped,unknown
5162,2nd Ballerina,2nd ballerina,unknown
5163,3rd Ballerina,3rd ballerina,unknown
5164,4th Ballerina,4th ballerina,unknown
5165,Fema Official,fema official,unknown
5166,Kermit the Frog,kermit the frog,unknown
5167,Royce,royce,unknown
5168,COUNTRY V.J.,country vj,unknown
5169,Natalie Maines,natalie maines,unknown
5170,Emily Robison,emily robison,unknown
5171,Martie Maguire,martie maguire,unknown
5172,Lurleen's Boyfriend,lurleens boyfriend,unknown
5173,Robot-singing Voice,robot-singing voice,unknown
5174,Trans-Clown-o-Morph,trans-clown-o-morph,unknown
5175,Head Pterodactyl-bot,head pterodactyl-bot,unknown
5176,Golf Announcer,golf announcer,unknown
5177,Cheddarbarrel,cheddarbarrel,unknown
5178,4-h Judge,4-h judge,unknown
5179,ACTIVIST,activist,unknown
5180,Solarpanel,solarpanel,unknown
5181,COMPOST,compost,unknown
5182,Stabbed-in-jail,stabbed-in-jail,unknown
5183,Homer Puppet,homer puppet,unknown
5184,Marge Puppet,marge puppet,unknown
5185,Head Caterer,head caterer,unknown
5186,Country Preacher,country preacher,unknown
5187,Hillbilly Guests,hillbilly guests,unknown
5188,Cow In Truck,cow in truck,unknown
5189,Mr. Kinkaid,mr kinkaid,unknown
5190,Head Board Member,head board member,unknown
5191,Other Board Members,other board members,unknown
5096,Prof. August,prof august,m
5193,2nd Film Loop,2nd film loop,unknown
5194,Jim Jarmusch,jim jarmusch,unknown
5195,Bouncer,bouncer,unknown
5196,Male Audience Member,male audience member,unknown
5197,Female Audience Member,female audience member,unknown
5198,Male Audience Member #2,male audience member 2,unknown
5199,People On Street,people on street,unknown
5200,Woman On Street,woman on street,unknown
5201,Man On Street #2,man on street 2,unknown
5202,Male Filmgoer,male filmgoer,unknown
5203,Man On Street,man on street,unknown
5204,John C. Reilly,john c reilly,unknown
5205,Female Employee,female employee,unknown
5206,Hippo Critter,hippo critter,unknown
5207,Hippo #1,hippo 1,unknown
5208,Hippo #2,hippo 2,unknown
5209,Hippo #3,hippo 3,unknown
5210,Hippos,hippos,unknown
5211,Fozzy,fozzy,unknown
5212,Lance Armstrong,lance armstrong,unknown
5213,Hand,hand,unknown
5214,Female Automated Voice,female automated voice,unknown
5215,Little Homer,little homer,unknown
5216,Celebrity Reporter,celebrity reporter,unknown
5217,Paparazzi,paparazzi,unknown
5218,Theater Actor,theater actor,unknown
5219,Drew Carey,drew carey,unknown
5220,Krusketeers,krusketeers,unknown
5221,C.J.,cj,unknown
5223,Channel 6 Executive,channel 6 executive,unknown
5224,Stagehands,stagehands,unknown
5225,Ira Man,ira man,unknown
5226,Protestant Leprechaun,protestant leprechaun,unknown
5227,Catholic Leprechaun,catholic leprechaun,unknown
5229,Urchin,urchin,unknown
5230,Mulk,mulk,unknown
